,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated_x,quote,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated_y
10,6636,Polkadot,DOT,polkadot-new,427,2020-08-19T00:00:00.000Z,,1138170198.834361,1251800707.415064,11,904869778.0,5134245885.694871,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 5.674016317621861, 'volume_24h': 165966173.46586895, 'volume_change_24h': -1.6306, 'percent_change_1h': -0.51721023, 'percent_change_24h': -4.42226541, 'percent_change_7d': -4.86903057, 'percent_change_30d': -8.6914922, 'percent_change_60d': -20.13328926, 'percent_change_90d': -32.43405636, 'market_cap': 6457996280.417083, 'market_cap_dominance': 0.7807, 'fully_diluted_market_cap': 7102737640.28, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",5.674016317621861,165966173.46586895,-1.6306,-0.51721023,-4.42226541,-4.86903057,-8.6914922,-20.13328926,-32.43405636,6457996280.417083,0.7807,7102737640.28,,2022-11-16T19:24:00.000Z
11,4943,Dai,DAI,multi-collateral-dai,1546,2019-11-22T00:00:00.000Z,,5886669483.690341,5886669483.690341,12,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 1.0004104030250562, 'volume_24h': 455512835.9940039, 'volume_change_24h': 31.4874, 'percent_change_1h': -0.00877919, 'percent_change_24h': -0.04248111, 'percent_change_7d': -0.01304343, 'percent_change_30d': 0.09865019, 'percent_change_60d': 0.03794693, 'percent_change_90d': 0.02872608, 'market_cap': 5889085390.653954, 'market_cap_dominance': 0.7122, 'fully_diluted_market_cap': 5889085390.65, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",1.0004104030250562,455512835.9940039,31.4874,-0.00877919,-0.04248111,-0.01304343,0.09865019,0.03794693,0.02872608,5889085390.653954,0.7122,5889085390.65,,2022-11-16T19:24:00.000Z
12,5426,Solana,SOL,solana,402,2020-04-10T00:00:00.000Z,,362266510.5204831,533682587.3525266,13,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 14.122513997636245, 'volume_24h': 506116392.50519776, 'volume_change_24h': -42.9095, 'percent_change_1h': -0.09257656, 'percent_change_24h': -0.76625825, 'percent_change_7d': -1.49438155, 'percent_change_30d': -54.02437285, 'percent_change_60d': -57.42609701, 'percent_change_90d': -65.50645416, 'market_cap': 5116113865.70036, 'market_cap_dominance': 0.6187, 'fully_diluted_market_cap': 7536939810.18, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",14.122513997636245,506116392.50519776,-42.9095,-0.09257656,-0.76625825,-1.49438155,-54.02437285,-57.42609701,-65.50645416,5116113865.70036,0.6187,7536939810.18,,2022-11-16T19:24:00.000Z
13,5994,Shiba Inu,SHIB,shiba-inu,444,2020-08-01T00:00:00.000Z,,549063278876301.94,589735030408322.8,14,,,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 9.074014421010836e-06, 'volume_24h': 228338500.7649569, 'volume_change_24h': 19.5862, 'percent_change_1h': -0.31686629, 'percent_change_24h': -2.10834388, 'percent_change_7d': -2.75061108, 'percent_change_30d': -12.04949871, 'percent_change_60d': -23.11217706, 'percent_change_90d': -36.5701341, 'market_cap': 4982208110.571058, 'market_cap_dominance': 0.6025, 'fully_diluted_market_cap': 5351264170.5, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",9.074014421010836e-06,228338500.7649569,19.5862,-0.31686629,-2.10834388,-2.75061108,-12.04949871,-23.11217706,-36.5701341,4982208110.571058,0.6025,5351264170.5,,2022-11-16T19:23:00.000Z
14,1958,TRON,TRX,tron,702,2017-09-13T00:00:00.000Z,,92192105751.37247,92192206741.62,15,71659659264.0,3554502961.3411417,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 0.04960256576501521, 'volume_24h': 402690145.75036186, 'volume_change_24h': -19.6587, 'percent_change_1h': -0.62250779, 'percent_change_24h': -1.49357138, 'percent_change_7d': -12.19799688, 'percent_change_30d': -20.88073518, 'percent_change_60d': -19.92657009, 'percent_change_90d': -27.32083555, 'market_cap': 4572964988.54769, 'market_cap_dominance': 0.5529, 'fully_diluted_market_cap': 4572969997.92, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",0.04960256576501521,402690145.75036186,-19.6587,-0.62250779,-1.49357138,-12.19799688,-20.88073518,-19.92657009,-27.32083555,4572964988.54769,0.5529,4572969997.92,,2022-11-16T19:23:00.000Z
15,7083,Uniswap,UNI,uniswap,536,2020-09-17T00:00:00.000Z,1000000000.0,762209326.5354977,1000000000.0,16,,,1.17851418,2022-11-16T19:24:00.000Z,"{'USD': {'price': 5.941497811817855, 'volume_24h': 136435139.3148516, 'volume_change_24h': -29.2469, 'percent_change_1h': -0.34481131, 'percent_change_24h': -5.83788177, 'percent_change_7d': 13.75608134, 'percent_change_30d': -7.27878736, 'percent_change_60d': -0.22325042, 'percent_change_90d': -24.91174633, 'market_cap': 4528665045.75782, 'market_cap_dominance': 0.5475, 'fully_diluted_market_cap': 5941497811.82, 'tvl': 3842690317.09687, 'last_updated': '2022-11-16T19:24:00.000Z'}}",5.941497811817855,136435139.3148516,-29.2469,-0.34481131,-5.83788177,13.75608134,-7.27878736,-0.22325042,-24.91174633,4528665045.75782,0.5475,5941497811.82,3842690317.09687,2022-11-16T19:24:00.000Z
16,2,Litecoin,LTC,litecoin,845,2013-04-28T00:00:00.000Z,84000000.0,71626393.72976825,84000000.0,17,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 57.41019281952649, 'volume_24h': 588839226.0231168, 'volume_change_24h': -0.2131, 'percent_change_1h': -0.66534214, 'percent_change_24h': -1.39837447, 'percent_change_7d': 7.12519982, 'percent_change_30d': 11.18968581, 'percent_change_60d': -1.11153168, 'percent_change_90d': -5.65470373, 'market_cap': 4112085074.9933186, 'market_cap_dominance': 0.4972, 'fully_diluted_market_cap': 4822456196.84, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",57.41019281952649,588839226.0231168,-0.2131,-0.66534214,-1.39837447,7.12519982,11.18968581,-1.11153168,-5.65470373,4112085074.9933186,0.4972,4822456196.84,,2022-11-16T19:24:00.000Z
17,5805,Avalanche,AVAX,avalanche,341,2020-07-13T00:00:00.000Z,720000000.0,300541787.818979,404229626.49901325,18,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 13.036688533360186, 'volume_24h': 151880937.8649608, 'volume_change_24h': -8.5667, 'percent_change_1h': -0.46970435, 'percent_change_24h': -4.10215832, 'percent_change_7d': -0.90386521, 'percent_change_30d': -18.46193923, 'percent_change_60d': -29.11281117, 'percent_change_90d': -48.58993982, 'market_cap': 3918069679.055254, 'market_cap_dominance': 0.4738, 'fully_diluted_market_cap': 9386415744.02, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",13.036688533360186,151880937.8649608,-8.5667,-0.46970435,-4.10215832,-0.90386521,-18.46193923,-29.11281117,-48.58993982,3918069679.055254,0.4738,9386415744.02,,2022-11-16T19:24:00.000Z
18,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,696,2019-01-30T00:00:00.000Z,,237193.40739945,237193.40739945,19,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 16467.47638139989, 'volume_24h': 163697392.73338357, 'volume_change_24h': 48.8429, 'percent_change_1h': -0.52588611, 'percent_change_24h': -1.75158186, 'percent_change_7d': -2.21902802, 'percent_change_30d': -15.49626834, 'percent_change_60d': -17.81150851, 'percent_change_90d': -29.57889573, 'market_cap': 3905976834.174205, 'market_cap_dominance': 0.4722, 'fully_diluted_market_cap': 3905976834.17, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",16467.47638139989,163697392.73338357,48.8429,-0.52588611,-1.75158186,-2.21902802,-15.49626834,-17.81150851,-29.57889573,3905976834.174205,0.4722,3905976834.17,,2022-11-16T19:24:00.000Z
19,3957,UNUS SED LEO,LEO,unus-sed-leo,22,2019-05-21T00:00:00.000Z,,953954130.0,985239504.0,20,,,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 3.8396213783681734, 'volume_24h': 4056970.52903909, 'volume_change_24h': -4.4073, 'percent_change_1h': -0.14033063, 'percent_change_24h': 2.2902474, 'percent_change_7d': 4.01647207, 'percent_change_30d': -12.78957217, 'percent_change_60d': -22.43942385, 'percent_change_90d': -27.75805616, 'market_cap': 3662822671.5306115, 'market_cap_dominance': 0.4429, 'fully_diluted_market_cap': 3782946662.37, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",3.8396213783681734,4056970.52903909,-4.4073,-0.14033063,2.2902474,4.01647207,-12.78957217,-22.43942385,-27.75805616,3662822671.5306115,0.4429,3782946662.37,,2022-11-16T19:23:00.000Z
